ID,SourceText,Russian,English,Notes
890000000005103,"A polished brass whistle still hangs from Kwame Mensah's belt, rarely blown but always ready. It outlasted years of walking an Accra neighbourhood after dark and settling doorstep quarrels after the watch fund ran dry. Kwame would rather hear the whole story than win an argument. Formal weapons practice came to him in scraps, so he is happiest when someone makes the purpose plain.","По ночам в Аккре Кваме Менса обходил кварталы с добровольным патрулём, пока общая касса не опустела. Он говорит негромко, сперва выслушивает обе стороны и лишь потом решает, стоит ли вмешиваться. Оружию его учили урывками между сменами, поэтому ясную задачу Кваме любит больше поспешной пальбы. На ремне он до сих пор носит начищенный латунный свисток, хотя пользуется им только в крайнем случае.","A polished brass whistle still hangs from Kwame Mensah's belt, rarely blown but always ready. It outlasted years of walking an Accra neighbourhood after dark and settling doorstep quarrels after the watch fund ran dry. Kwame would rather hear the whole story than win an argument. Formal weapons practice came to him in scraps, so he is happiest when someone makes the purpose plain.",JAZZ-UNITS-005
890000000005113,"The forests of Grand Chien once paid Jean-Baptiste Okoro's way, until a licensing dispute left his traps empty and his name unwelcome. He moves with a hunter's economy and dislikes anything that scatters birds before the work begins. Weathered shell cases ride in a leather pouch, keepsakes from lean seasons he survived without complaint. Crowded streets make him wary, but stillness brings out the best in him.","Охота в Гранд-Шьен кормила Жан-Батиста Окоро, пока зверь не ушёл за границу его лицензии, а вместе с ним и заработок. Он не любит суеты и заранее выбирает место, где не придётся делать второй выстрел. В потрёпанном кожаном подсумке Окоро хранит горсть старых гильз, напоминающих об особенно долгих зимах. Шумное оружие заставляет его насторожиться; ждать же Окоро умеет так долго, что окружающие начинают говорить шёпотом.","The forests of Grand Chien once paid Jean-Baptiste Okoro's way, until a licensing dispute left his traps empty and his name unwelcome. He moves with a hunter's economy and dislikes anything that scatters birds before the work begins. Weathered shell cases ride in a leather pouch, keepsakes from lean seasons he survived without complaint. Crowded streets make him wary, but stillness brings out the best in him.",JAZZ-UNITS-005
890000000005123,"A worn police badge shares Ibrahim Touré's pocket with a spotless handkerchief folded for the next split lip. Both survived a Malian street post where tempers caused more trouble than weapons. Ibrahim can turn a shouting match down by speaking softly, though a distant target gives him fewer clues than an angry face. When panic spreads through a crowd, he looks for the person everyone else has overlooked.","На малийском посту Ибрахиму Туре чаще приходилось разнимать уличные ссоры, чем доставать револьвер. Он умеет понизить голос именно тогда, когда все вокруг начинают кричать, и обычно этим выигрывает нужную минуту. После закрытия участка Ибрахим оставил себе потёртый жетон и привычку складывать чистый платок в аккуратный квадрат для чужих ссадин. Блеска в его стрельбе нет, а в толчее он не забывает, кто нуждается в помощи первым.","A worn police badge shares Ibrahim Touré's pocket with a spotless handkerchief folded for the next split lip. Both survived a Malian street post where tempers caused more trouble than weapons. Ibrahim can turn a shouting match down by speaking softly, though a distant target gives him fewer clues than an angry face. When panic spreads through a crowd, he looks for the person everyone else has overlooked.",JAZZ-UNITS-005
890000000005133,"Before anyone issued him a uniform, Sani Abubakar was hauling cement and forcing warped doors into place at a Nigerian barracks. Loud voices unsettle him more than he admits, yet his broad hands seldom abandon a task halfway through. A red carpenter's pencil lives behind his ear, and he marks every repaired hinge with a tiny cross. He has much to learn about danger, but none about carrying another person's share.","Сани Абубакар таскал цемент на стройке нигерийской казармы и так и не дождался части, которая назвала бы его своим. Он охотно берётся за тяжёлую работу, но от внезапного окрика сперва вздрагивает и лишь затем собирается. За ухом Сани держит красный плотницкий карандаш и машинально отмечает на дверях, что уже укреплено. Опыта у него мало, однако после испуга он всегда возвращается закончить начатое.","Before anyone issued him a uniform, Sani Abubakar was hauling cement and forcing warped doors into place at a Nigerian barracks. Loud voices unsettle him more than he admits, yet his broad hands seldom abandon a task halfway through. A red carpenter's pencil lives behind his ear, and he marks every repaired hinge with a tiny cross. He has much to learn about danger, but none about carrying another person's share.",JAZZ-UNITS-005
890000000005143,"Old bus tickets fill Pierre Ndongo's breast pocket, sorted by route in neat paper bundles. They accumulated while he watched the same Congolese road until faces, debts, and detours arranged themselves into a private map. Pierre is slow to volunteer an opinion and quick to notice when a familiar traveller changes shoes. A weapon never felt as natural as remembering where people came from, so he listens before placing himself in danger.","Долгие годы на конголезских блокпостах научили Пьера Ндонго узнавать постоянных путников по походке. Он быстрее запоминает лицо и маршрут, чем осваивает новое движение с оружием. В кармане Пьер хранит автобусные билеты, раскладывая их по дорогам и датам, словно маленький личный атлас. Сейчас его руки пусты, но рядом с ним редко теряется человек или нужный поворот.","Old bus tickets fill Pierre Ndongo's breast pocket, sorted by route in neat paper bundles. They accumulated while he watched the same Congolese road until faces, debts, and detours arranged themselves into a private map. Pierre is slow to volunteer an opinion and quick to notice when a familiar traveller changes shoes. A weapon never felt as natural as remembering where people came from, so he listens before placing himself in danger.",JAZZ-UNITS-005
890000000005153,"The Winchester inherited from his grandfather is Moussa Diop's sole indulgence, polished nightly with linen worn almost transparent. Before paved roads drew younger hunters away, Senegalese game trails provided his living. Strangers find Moussa distant, but the bush brings a loose, unhurried grace to his step. He counts cartridges before leaving camp and regards a wasted shot as a failure of patience, not equipment.","Сенегальские тропы долго кормили Муссу Диопа за умение заметить след раньше других. Старый винчестер достался ему от деда, и после каждого выхода Мусса протирает приклад кусочком льняной ткани. Компания делает его угрюмым; в одиночестве шаг Муссы становится лёгким и почти бесшумным. Патроны считает заранее, потому что терпеть не может исправлять спешку вторым выстрелом.","The Winchester inherited from his grandfather is Moussa Diop's sole indulgence, polished nightly with linen worn almost transparent. Before paved roads drew younger hunters away, Senegalese game trails provided his living. Strangers find Moussa distant, but the bush brings a loose, unhurried grace to his step. He counts cartridges before leaving camp and regards a wasted shot as a failure of patience, not equipment.",JAZZ-UNITS-005
890000000005163,"Every dawn Abel Getachew relaces his boots exactly as a sergeant once taught him, preserving a small ritual of unfinished service. He left an Ethiopian training ground before the drills could sand down his doubts. A demonstration stays with Abel after a single viewing, then eagerness spoils the result. His hands have not found a calm rhythm under pressure, but embarrassment only sends him back to practise.","С эфиопских учений Абель Гетачью ушёл прежде, чем строевая успела стать привычкой. Достаточно показать ему приём один раз, и к вечеру он уже повторяет его, пусть пока слишком напряжённо. Каждое утро Абель заново шнурует ботинки по уставной схеме, будто этим можно наверстать пропущенную службу. В момент выстрела он торопится, но замечание запоминает надолго и упрямо пробует снова.","Every dawn Abel Getachew relaces his boots exactly as a sergeant once taught him, preserving a small ritual of unfinished service. He left an Ethiopian training ground before the drills could sand down his doubts. A demonstration stays with Abel after a single viewing, then eagerness spoils the result. His hands have not found a calm rhythm under pressure, but embarrassment only sends him back to practise.",JAZZ-UNITS-005
890000000005173,"Thabo Molefe guarded South African farmyards, sleeping among feed sacks with a double-barrelled gun within reach. He is deliberate rather than quick, a broad presence that makes a gate feel narrower. A chipped green enamel mug travels everywhere with him, because tea tastes wrong from tin. Nobody trusted Thabo with elaborate instructions, yet sudden noise never sends him running and a long night seldom draws a complaint.","Табо Молефе сторожил южноафриканские фермы, спал в сараях и отгонял воров старым двуствольным ружьём. Его неспешное движение у ворот сменяется таким спокойствием, что хозяева забывали проверять замок. Единственная прихоть Табо — зелёная эмалированная кружка, из которой он пьёт даже холодную воду. Сложные приёмы даются ему не сразу, но первый хлопок никогда не срывает его с места.","Thabo Molefe guarded South African farmyards, sleeping among feed sacks with a double-barrelled gun within reach. He is deliberate rather than quick, a broad presence that makes a gate feel narrower. A chipped green enamel mug travels everywhere with him, because tea tastes wrong from tin. Nobody trusted Thabo with elaborate instructions, yet sudden noise never sends him running and a long night seldom draws a complaint.",JAZZ-UNITS-005
890000000005183,"At first light Daniel Kiprop still presses two fingers to the ground, even when the only tracks belong to bicycles. A Kenyan ranger taught him to read the flicker of grass before other men heard a branch move. Bulky burdens tire Daniel, so he chooses cleaner routes through rough country. Fine rifles passed him by, but an early glimpse and a well-chosen position have often served him better.","Движение в траве Даниэль Кипроп замечал раньше хруста ветки ещё в годы работы с кенийским егерем. Он худощав, не любит долгой возни с тяжестью и всегда ищет путь, где можно пройти легче. Перед рассветом Даниэль касается земли двумя пальцами, проверяя ночные следы, даже на городской улице. Хорошей винтовки у него никогда не было, поэтому он научился ценить удачно выбранное место больше дорогой вещи.","At first light Daniel Kiprop still presses two fingers to the ground, even when the only tracks belong to bicycles. A Kenyan ranger taught him to read the flicker of grass before other men heard a branch move. Bulky burdens tire Daniel, so he chooses cleaner routes through rough country. Fine rifles passed him by, but an early glimpse and a well-chosen position have often served him better.",JAZZ-UNITS-005
890000000005193,"When the main roads of Grand Chien became unsafe, Emmanuel Kabongo led couriers along creek beds and forgotten footpaths. He has no taste for speeches, though frightened companions naturally match his pace. A charcoal map, softened by sweat and repeated folding, stays tucked inside his shirt. Emmanuel handles a gun like a borrowed tool, but darkness has never made him forget which fork leads home.","Когда прямые дороги Гранд-Шьен стали слишком заметны, Эммануэль Кабонго повёл связных по тропам. Он не командует голосом, но растерянные люди почему-то держатся ближе к его плечу. В рубашке Эммануэль носит сложенный лист, где углём отмечены ручьи, колючие заросли и места для короткого сна. Оружие лежит в его руках неловко — к неправильной развилке он при этом не вывел ни одного спутника.","When the main roads of Grand Chien became unsafe, Emmanuel Kabongo led couriers along creek beds and forgotten footpaths. He has no taste for speeches, though frightened companions naturally match his pace. A charcoal map, softened by sweat and repeated folding, stays tucked inside his shirt. Emmanuel handles a gun like a borrowed tool, but darkness has never made him forget which fork leads home.",JAZZ-UNITS-005
