ID,Text,Translation,Old Text,Old Translation,Status,Gender,Critical Warnings,Non-critical Warnings,Platform Warnings,Location,Context,Section,Keyword,Actor,Voice Actor,Voice ID,Revision,Old Revision,Edit Distance
887406599613,Game Settings,Параметры игры,Game Progress,Прохождение игры,OK,,,,,Trunk\CommonLua/AccountStorage.lua(00043),,,,,,,,,
623739770783,"<class><opt(u(RequiredClassesFormatted),' ','')>","<class><opt(u(RequiredClassesFormatted),' ','')>",,,OK,,,,,Trunk\CommonLua/Classes/ClassDefFunctionObjects.lua(00011),,,,,,,,,
410957252932,<textcolor><text></color>,<textcolor><text></color>,,,OK,,,,,Trunk\CommonLua/Classes/ContinuousEffect.lua(00186),,,,,,,,,
964541079092,Comment,Комментарий,,,OK,,,,,Trunk\CommonLua/Classes/GameEffect.lua(00008),,,,,,,,,
200174645592,Enter Mod Title,Введите название мода,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00152),,,,,,,,,
112659155240,No name provided,Название не указано,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00156),,,,,,,,,
970080750583,Error opening <ModLabel> for editing: cannot open unpacked mods,Ошибка при открытии мода «<ModLabel>» на редактирование: нельзя открыть нераспакованный мод,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00201),,,,,,,,,
521819598348,Confirm Copy,Подтвердите копирование,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00218),,,,,,,,,
814173350691,Mod '<u(title)>' files will be copied to <u(path)>,Файлы мода «<u(title)>» будут скопированы в <u(path)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00218),,,,,,,,,
348544010518,Copying <ModLabel> to <u(path)>,Копирование: <ModLabel> в <u(path)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00223),,,,,,,,,
311163830130,Error creating folder <u(folder)>: <u(err)>,Ошибка создания папки <u(folder)>: <u(err)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00237),,,,,,,,,
403285832388,Error copying <u(file)>: <u(err)>,Ошибка копирования файла <u(file)>: <u(err)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00248),,,,,,,,,
600384081290,Error looking up files of <ModLabel>: <u(err)>,Ошибка поиска файлов мода «<ModLabel>»: <u(err)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00252),,,,,,,,,
836115199867,Error looking up folders of <ModLabel>: <u(err)>,Ошибка поиска папок мода «<ModLabel>»: <u(err)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00255),,,,,,,,,
578088043400,Error copying <ModLabel>: <u(err)>,Ошибка копирования мода «<ModLabel>»: <u(err)>,Error copying <ModLabel>: <err>,Ошибка копирования мода «<ModLabel>»: <err>,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00269),,,,,,,,,
820846615088,Do you want to delete all <ModLabel> files?,Удалить все файлы мода «<ModLabel>»?,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00292),,,,,,,,,
435161105463,Please confirm the deletion of item '<u(name)>'!,Подтвердите удаление объекта «<u(name)>»!,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00474),,,,,,,,,
621296865915,"Are you sure you want to delete the following <u(number_of_items)> selected items?
<u(items)>","Действительно удалить следующие выбранные предметы (<u(number_of_items)> шт.)?
<u(items)>",,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00476),,,,,,,,,
986829419084,Confirmation,Подтверждение,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00478),,,,,,,,,
243097197797,Failed creating content package file (<err>),Не удалось создать пакет материалов (<err>),,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00702),Mod upload error,,,,,,,,
561889745203,Mod <ModLabel> was successfully uploaded!,Мод «<ModLabel>» успешно опубликован!,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00768),,,,,,,,,
164802745041,"The following mods couldn't be loaded. Open the mod manager for more information:
","Невозможно загрузить следующие моды. Подробная информация содержится в разделе «Управление модификациями»:
",,,OK,,,,,Trunk\CommonLua/Classes/Mod.lua(01790),,,,,,,,,
675270242132,<errorT><em><mods_list></em>,<errorT><em><mods_list></em>,,,OK,,,,,Trunk\CommonLua/Classes/Mod.lua(01820),,,,,,,,,
306573510595,Mod Loaded with Errors,Мод загружен с ошибками,,,OK,,,,,Trunk\CommonLua/Classes/Mod.lua(01987),,,,,,,,,
560233458867,"Mod <em><u(literal(title))></em>:
<u(literal(errs))>","Мод <em><u(literal(title))></em>:
<u(literal(errs))>",,,OK,,,,,Trunk\CommonLua/Classes/Mod.lua(02022),,,,,,,,,
674857971939,<u(name)>,<u(name)>,,,OK,,,,,Trunk\CommonLua/Classes/Mod.lua(02125),,,,,,,,,
