stem,ru_text,wav_bytes,has_audio,source_txt
000,Мы вступили в контакт с неприятелем.,41568,1,175_Laura.txt
001,Можно начинать операцию!,37176,1,175_Laura.txt
002,Мне нужна помощь.,24188,1,175_Laura.txt
003,Интересные существа!,34937,1,175_Laura.txt
004,"Жаль, что здесь нет моего отца. Этот вид наверняка заинтересовал бы его.",71101,1,175_Laura.txt
005,"Плотоядные, может быть, даже всеядные? Не могу сказать c уверенностью.",74810,1,175_Laura.txt
006,Я что-то слышала.,32577,1,175_Laura.txt
007,"Может быть, это феромоны? Этот запах явно не предназначен для человеческого обоняния.",91457,1,175_Laura.txt
008,Здесь слишком уж мирно.,32556,1,175_Laura.txt
009,Мой интерес к этому новому виду все же имеет пределы! Я не хочу изучать их охотничьи повадки с близкого расстояния.,133247,1,175_Laura.txt
010,"О, они нападают стаей... Аааа!",54215,1,175_Laura.txt
011,Посмотрим поближе...,47063,1,175_Laura.txt
012,Что это?,16009,1,175_Laura.txt
013,Кончились патроны!,24884,1,175_Laura.txt
014,Мне нужен жгут - и морфий - быстро!,34185,1,175_Laura.txt
015,"Рудольф... это должно было случиться. Либо ты, либо я... Мы не могли ничего изменить. Неужели ты действительно мог представить  нас вместе, в кресле-качалке возле горящего камина?",188832,1,175_Laura.txt
016,"Очень жаль, Виктор. Ты был принципиальным человеком. Я уважала тебя за  это.",76949,1,175_Laura.txt
017,,0,0,175_Laura.txt
018,Где мы?,13295,1,175_Laura.txt
019,Оружие заклинило.,24560,1,175_Laura.txt
020,Содержание свинца в здешнем воздухе слишком уж сильно повышено!,59475,1,175_Laura.txt
021,Плохо...,16330,1,175_Laura.txt
022,Я чудом спаслась.,33807,1,175_Laura.txt
023,Ты принимаешь желаемое за действительное.,42328,1,175_Laura.txt
024,Я теряю слишком много крови. Нужно немедленно остановить кровотечение!,78036,1,175_Laura.txt
025,Человеческим телам иногда необходима передышка - и мое не является исключением.,94837,1,175_Laura.txt
026,Как в разреженной атмосфере - дышать... Дышать!,64519,1,175_Laura.txt
027,Он определенно заслужил это.,31236,1,175_Laura.txt
028,"Может быть, мне удастся взять образец ткани?",54507,1,175_Laura.txt
029,Тоска начинает меня раздражать.,38248,1,175_Laura.txt
030,,0,0,175_Laura.txt
031,Лиска - хорошее имя для этой маленькой шлюшки.,56306,1,175_Laura.txt
032,"Все кончено, Майк.",23893,1,175_Laura.txt
033,Никакой доктор тут не поможет.,43051,1,175_Laura.txt
034,,0,0,175_Laura.txt
035,Жду новых приказаний.,24066,1,175_Laura.txt
036,"К сожалению, я вынуждена отказать.",42157,1,175_Laura.txt
037,Операция завершена - пациент мертв.,38579,1,175_Laura.txt
038,"Какая досада! У меня нет с собой формальдегида... Может быть, у нас есть сухой лед?",93224,1,175_Laura.txt
039,Кое-кому стоит убраться с моей дороги... И побыстрее!,61652,1,175_Laura.txt
040,Я полностью лишилась мотивации. Эта операция потеряла для меня всякий смысл.,97668,1,175_Laura.txt
041,"Некоторым людям здесь не место. Может быть, я просто оказалась не в том месте и не в то время - но скорее всего, не в той компании.",138154,1,175_Laura.txt
042,Воздух!,16243,1,175_Laura.txt
043,"Как врачу мне нужны хорошие инструменты, чтобы заштопать чье-нибудь брюхо. Как наемнику мне не хочется выпускать ему кишки из такого дерьмового оружия.",171812,1,175_Laura.txt
044,,38513,1,175_Laura.txt
045,,81639,1,175_Laura.txt
046,"Приятно, когда человек совершенствует свои познания - а я узнаю больше день ото дня.",81304,1,175_Laura.txt
047,Сомнительно... Очень сомнительно.,49046,1,175_Laura.txt
048,"Да, как я и говорила...",31854,1,175_Laura.txt
049,От треска Тоски у меня повышается давление.,39843,1,175_Laura.txt
050,,0,0,175_Laura.txt
051,Нет никого лучше Рудольфа!,26424,1,175_Laura.txt
052,"Да! Виктор, это здорово! Почему они все называют тебя Монахом?",64517,1,175_Laura.txt
053,,0,0,175_Laura.txt
054,"Пока еще слишком рано об этом говорить. Посмотрим, как дела пойдут дальше.",76490,1,175_Laura.txt
055,Майк?,13849,1,175_Laura.txt
056,"Ах, моя сетчатка, мои ГЛАЗА... Я ничего не вижу!",56455,1,175_Laura.txt
