stem,ru_text,wav_bytes,has_audio,source_txt
000,Враг рядом!,19249,1,176_grace.txt
001,"Ладно, давайте с ними разделаемся. Руки так и чешутся метнуть пару ножиков.",75725,1,176_grace.txt
002,"Говорила мне мама, не играй с незнакомыми дядями!",51962,1,176_grace.txt
003,Я вижу одну из этих тварей.,35104,1,176_grace.txt
004,Они похожи на... Они ни на что не похожи!,48589,1,176_grace.txt
005,Ох. Не самая легкая смерть.,39478,1,176_grace.txt
006,Я что-то слышу!,26055,1,176_grace.txt
007,"Они воняют, как телячий рубец с потрохами - знаете такое шотландское национальное блюдо? Смотрите в оба, тварюшки, не то я вас выпотрошу и отправлю в Шотландию.",154485,1,176_grace.txt
008,У меня нехорошее предчувствие.,40540,1,176_grace.txt
009,"Каждый раз, когда я оборачиваюсь, мне мерещится, будто одна из этих жутких тварей крадется за мной по пятам.",100606,1,176_grace.txt
010,"Эй, мы так не договаривались. Человек - царь природы, а не жратва для неизвестно кого! Помогите!",96757,1,176_grace.txt
011,Что это было?,17499,1,176_grace.txt
012,Что там?,11866,1,176_grace.txt
013,В следующий раз прихвачу с собой пулеметную ленту.,42540,1,176_grace.txt
014,Мне нужен морфий... И скорее!,35069,1,176_grace.txt
015,,59785,1,176_grace.txt
016,,61454,1,176_grace.txt
017,"Черт, Янно! Я тебя почти не знала, но когда ты был рядом, мне было так...  Спокойно? А еще ты всегда умел получать удовольствие от жизни... Проклятье...",155892,1,176_grace.txt
018,Что я делаю?,16457,1,176_grace.txt
019,Даже оружие испугалось!,25148,1,176_grace.txt
020,Грязные ублюдки! Здесь становится слишком жарко!,52446,1,176_grace.txt
021,Ооох!,10679,1,176_grace.txt
022,"Ф-фу, пронесло... Вот тебе и адреналин! Говорят, можно подсесть на это ощущение...",77005,1,176_grace.txt
023,"Отсюда я даже не вижу цель... Или предполагается, что у меня с собой ракета с тепловым наведением?",79244,1,176_grace.txt
024,"Я теряю слишком много крови... Вот это и называется ""критические дни"".",66087,1,176_grace.txt
025,"Я устала. Я прикорну на часок, хорошо?",51267,1,176_grace.txt
026,Нужен воздух...,35731,1,176_grace.txt
027,Да!,14069,1,176_grace.txt
028,"Ф-фу! Когда они лопаются, они воняют еще сильнее.",52277,1,176_grace.txt
029,Я не могу быть в одной команде с Рыжим... У него в рюкзаке лежит рубец с потрохами - блуэ-э!..,86108,1,176_grace.txt
030,"Этот Рикошет чокнутый! По-моему, он пьет свою собственную кровь, так и вижу, как он причмокивает и облизывается...",93627,1,176_grace.txt
031,"Лава напоминает мне мою тетушку Лючию. Не женщина, а стихийное бедствие.",73430,1,176_grace.txt
032,"Прости, Майк. Это был не твой день.",40619,1,176_grace.txt
033,Какая... Гадость...,36941,1,176_grace.txt
034,"Успокойся, Грейс! Это всего лишь игра твоего воображения! По крайней мере, так говорила тетушка Лючия...",92545,1,176_grace.txt
035,Жду следующего приказа.,24054,1,176_grace.txt
036,Ни-за-что!,18846,1,176_grace.txt
037,"Может, она и была первостатейной сукой, но для женщины она многого достигла.",67212,1,176_grace.txt
038,"О-о-о, мой слабый желудок...",35680,1,176_grace.txt
039,"Я на дух не выношу таких людей... Знаете, у которых руки растут не из того места? Консервную банку, и ту вскрыть сами не могут.",104359,1,176_grace.txt
040,Это все так... Действует на нервы.,49995,1,176_grace.txt
041,"Меня окружают сумасшедшие. Господи, я же дома!",50231,1,176_grace.txt
042,Нападение с воздуха!,21688,1,176_grace.txt
043,Что это за дерьмо!? Неужели я не могу даже получить нормальное снаряжение?,72928,1,176_grace.txt
044,,39824,1,176_grace.txt
045,"Эти шотландцы... Мачо почище нас, итальянцев. Ужасно. А та дрянь, которую они едят? фу! Да, наверное, в ней все дело... Во всем виновата бурда, которую они жрут!",144179,1,176_grace.txt
046,Теперь дело пойдет веселее.,26527,1,176_grace.txt
047,"Мне кажется, это... будет совсем не смешно.",54126,1,176_grace.txt
048,Ничего другого я и не ожидала.,30770,1,176_grace.txt
049,"Как я смогу провести три дня с этим Рыжим?.. А что, если он решит здесь остаться?.. А что, если он притащит сюда еще и свой вонючий рубец с потрохами?",125161,1,176_grace.txt
050,"Этот гаденыш Рикошет... И он здесь? Не-ет. Наверное, это Божья кара за то, что я избила последнего жениха, которого мне нашла моя мамочка?",111547,1,176_grace.txt
051,,20061,1,176_grace.txt
052,,18457,1,176_grace.txt
053,Янно хороший парень. Напоминает мне моего младшего братишку Альфредо.,55099,1,176_grace.txt
054,"Я над этим подумаю. Посмотрим, как пойдут дела.",40977,1,176_grace.txt
055,"Мамма мия! Майк, ты?!",41039,1,176_grace.txt
056,"Мои глаза! Матерь Божья, я ослепла!",47635,1,176_grace.txt
057,"Я уже сейчас могу сказать, что это не сработает.",37734,1,176_grace.txt
058,Люди здесь хорошие...,22661,1,176_grace.txt
059,Обнаружен враг!,16121,1,176_grace.txt
060,Мы прикончили еще не всех. Не стоит расслабляться!,44717,1,176_grace.txt
061,И что это такое?,16649,1,176_grace.txt
062,Прекрасная пушка!,25165,1,176_grace.txt
063,"Это он! Ловите этого мальца! Только осторожнее, все-таки он еще ребенок.",62469,1,176_grace.txt
064,Мы вам поможем... Можете на нас рассчитывать.,34802,1,176_grace.txt
065,Сектор зачищен.,25530,1,176_grace.txt
066,"Они что, думают, мы такие тупые, что даже не заметим, что здесь кое-чего недостает?",55829,1,176_grace.txt
067,"Обидно. В мире слишком мало сильных женщин. Жаль, что она свернула с истинного пути.",74174,1,176_grace.txt
068,А... Э... Дикая кошка!,36813,1,176_grace.txt
069,"Вот это я называю хорошей работой! Эх, я буду скучать по этим денечкам... Впрочем, может, меня уже ждет следующий контракт? Руки чешутся снова взяться за дело.",127295,1,176_grace.txt
070,"Похоже, противник отступил. Слизняки бесхребетные.",48789,1,176_grace.txt
071,Что-то я притомилась... На свежую голову я способна на большее.,59518,1,176_grace.txt
072,Так гораздо лучше! Пора браться за дело!,42180,1,176_grace.txt
073,Я только что хотела это сказать.,28415,1,176_grace.txt
074,"Кажется, у меня возникла маленькая проблема... с этой... штукой.",55592,1,176_grace.txt
075,Это к специалистам. Кто-то забыл убрать с дороги свои игрушки.,55534,1,176_grace.txt
076,"Что это там, на земле? Выглядит очень подозрительно...",55029,1,176_grace.txt
077,Я... тону...,27842,1,176_grace.txt
078,Прибыла. Что делать теперь?,24054,1,176_grace.txt
079,,0,0,176_grace.txt
080,"Не-ет, спасибочки. Я слышала о вас сто-олько всего неприятного...",65580,1,176_grace.txt
081,"В следующем году вся моя семья собирается в Трентоне, и я надеюсь дожить до этого дня.",66654,1,176_grace.txt
082,Мммм... Нет. Мне нужно нянчиться с моими племянниками.,42850,1,176_grace.txt
083,"Извини, но я скоро уезжаю. Мне представилась возможность пройти курс повышения квалификации. В следующий раз не надо ждать до последнего момента.",103457,1,176_grace.txt
084,"Вы позвонили Грейс Джирелли, оставьте свое сообщение. Мама, если это ты... Да, я в порядке, и... нет, у меня нет времени для встречи с очередным милым молодым человеком. Я тебя люблю. Чао!",151536,1,176_grace.txt
085,Срок моего контракта истек. Что ж... пора уходить.,42168,1,176_grace.txt
086,"А что, 'Шотландский Телячий Рубец' уже в команде? Да? Это Рыжее дерьмо? В таком случае, я вынуждена отказаться. Спасибо.",110468,1,176_grace.txt
087,"У Рикошета в голове всего две извилины, и то, что благодаря ему задание может превратиться в серию фильма ужасов, его не беспокоит. Какие мелочи! За этим он сюда и пришел. Он сделает это задание кошмаром. Нет, спасибо!",189865,1,176_grace.txt
088,"Как там ее все зовут? Ах да, Лава. Вы не пробовали хотя бы на минутку задуматься, откуда у нее это прозвище? По собственному опыту могу сказать, она его заслужила. Даже не уговаривайте меня.",146226,1,176_grace.txt
089,"Срок моего контракта истек, но я могу остаться, пупсик, если без меня вы не справитесь.",85830,1,176_grace.txt
090,Понято и принято.,22884,1,176_grace.txt
091,"Прекрасно. Берегитесь, плохиши, кто не спрятался, я не виновата!",59697,1,176_grace.txt
092,,60538,1,176_grace.txt
093,,90287,1,176_grace.txt
094,"Не знаю, не знаю... Это правда, что Янно работает на вас? Да? Ладно, тогда я с вами.",88690,1,176_grace.txt
095,"Нет, в вашей команде мне не место. Спасибочки!",50467,1,176_grace.txt
096,Я сказала...,17661,1,176_grace.txt
097,"А чем вы планируете платить за мои услуги? Нет, я вам сейчас просто не по карману.",69103,1,176_grace.txt
098,"Я к такому обращению не привыкла, но... хорошо, я ухожу.",63044,1,176_grace.txt
099,"Знаете... Я слишком ценю свою жизнь. Если бы не это, я бы осталась.",72830,1,176_grace.txt
100,"Рыжий целыми днями поет дифирамбы этой вонючей шотландской жратве! Чертов телячий рубец! Едва у него выдается свободная минутка, он начинает перечислять ингредиенты. Не-ет, это не для моей ранимой итальянской души.",183234,1,176_grace.txt
101,"Нет-нет, я не одобряю тактику камикадзе, спасибо. Когда в команде Рикошет, жизнь с каждым днем становится все безумнее. Мне все равно, какое у него было детство, кем была его мать или что там еще... Он су-ма-сшед-ший!",181916,1,176_grace.txt
102,"Когда я слышу голос этой Лавы, я вся покрываюсь красными пятнами. У меня на нее аллергия, понимаете?.. Я не могу оставаться, это вредно для моего здоровья.",136310,1,176_grace.txt
103,,60538,1,176_grace.txt
104,,90287,1,176_grace.txt
105,"Моя мама сказала бы: ""Грейс, ты сошла с ума!"" - и была бы совершенно права. Честно говоря, я просто люблю работать с Янно... Так что вам повезло. Я остаюсь.",143419,1,176_grace.txt
106,Повторяю...,16662,1,176_grace.txt
107,"Что, нет денег? Это плохо. А если вам приходится иметь дело с наемниками, это еще хуже.",80510,1,176_grace.txt
108,Говорит Грейс Джирелли.,21751,1,176_grace.txt
109,"Кстати, я здорово управляюсь с ножами...",39816,1,176_grace.txt
110,Ненавижу ждать. Душа просит действия.,45934,1,176_grace.txt
111,Каков будет срок контракта?,24534,1,176_grace.txt
112,"Перезвоните мне, когда хотя бы примерно определитесь, что вам нужно.",46922,1,176_grace.txt
113,"Я. Ненавижу. Эту. Рыжую. Шотландскую. Свинью. Он так увлечен собой, что не заметит пренебрежительного отношения к своей персоне. Я не могу работать с ним в команде!",157037,1,176_grace.txt
114,"При всем уважении к вам должна заметить, что психопаты с кулаками вместо мозгов могут плохо повлиять на вашу репутацию. Понимаете, кого я имею в виду? Правильно, Рикошета. Большое спасибо, я обойдусь и без сумасшедших.",162473,1,176_grace.txt
115,"Я хочу вам напомнить, что срок нашего контракта очень скоро истекает.",57554,1,176_grace.txt
116,"Я не перестаю совершенствовать свои навыки и постоянно работаю над собой. Такие качества высоко ценятся, не правда ли? В прямом смысле...",95171,1,176_grace.txt
