ID,SourceText,VanillaText,Russian,English,Status,Context,Packages,Locations,Notes
987654321,<style WeaponModHeader><DisplayName></style>,,<style WeaponModHeader><DisplayName></style>,<style WeaponModHeader><DisplayName></style>,russian-override;new-id,jazz:Code/System_Firearm_AddProperties.lua:477,jazz,jazz:Code/System_Firearm_AddProperties.lua:601 | jazz:Code/System_WeaponRemovableModify.lua:528,
990002002,Ствольные запчасти,,Ствольные запчасти,Barrel Parts,russian-override;new-id,jazz:InventoryItem/JAZZ_BarrelParts.lua,jazz,jazz:Code/System_WeaponResourceMaintenance.lua:309 | jazz:InventoryItem/JAZZ_BarrelParts.lua:8 | jazz:items.lua:53817,manual-translation
990002003,Ствольные запчасти,,Ствольные запчасти,Barrel Parts,russian-override;new-id,jazz:InventoryItem/JAZZ_BarrelParts.lua,jazz,jazz:InventoryItem/JAZZ_BarrelParts.lua:9 | jazz:items.lua:53818,manual-translation
990002004,Используются для установки и ремонта стволов.,,Используются для установки и ремонта стволов.,Used to install and repair barrels.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_BarrelParts.lua:10 | jazz:items.lua:53819,manual-translation
990002005,Съёмный оружейный модуль,,Съёмный оружейный модуль,Removable weapon attachment,russian-override;new-id,jazz:InventoryItem/JAZZ_RemovableAttachment.lua,jazz,jazz:InventoryItem/JAZZ_RemovableAttachment.lua:9 | jazz:items.lua:53852,
990002006,Съёмные оружейные модули,,Съёмные оружейные модули,Removable weapon attachments,russian-override;new-id,jazz:InventoryItem/JAZZ_RemovableAttachment.lua,jazz,jazz:InventoryItem/JAZZ_RemovableAttachment.lua:10 | jazz:items.lua:53853,
990002007,Устанавливается на совместимое оружие в кабинете модификации.,,Устанавливается на совместимое оружие в кабинете модификации.,Устанавливается на совместимое оружие в кабинете модификации.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_RemovableAttachment.lua:11 | jazz:items.lua:53854,
990002010,Removal failed. Weapon resource max reduced.,,Снятие не удалось. Максимальный ресурс оружия снижен.,Removal failed. Weapon resource max reduced.,russian-override;new-id,jazz:Code/System_WeaponRemovableModify.lua,jazz,jazz:Code/System_WeaponRemovableModify.lua:590,
990002011,No removable attachment item in inventory.,,Нет снимаемого обвеса в инвентаре.,No removable attachment item in inventory.,russian-override;new-id,jazz:Code/System_WeaponRemovableModify.lua,jazz,jazz:Code/System_WeaponRemovableModify.lua:616,
990002012,Install failed. Weapon resource max reduced.,,Установка не удалась. Максимальный ресурс оружия снижен.,Install failed. Weapon resource max reduced.,russian-override;new-id,jazz:Code/System_WeaponRemovableModify.lua,jazz,jazz:Code/System_WeaponRemovableModify.lua:624,
990002013,Top up,,Дозарядить,Top up,russian-override;new-id,jazz:items.lua ModItemCombatAction Reload | jazz:Code/System_ReloadStyle.lua,jazz,jazz:items.lua:69370,manual-translation
