"ID","SourceText","Russian","English","Notes","Reasons","Packages","AllIDs","Locations"
"932865416694","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Нулевая бронебойность","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Нулевая бронебойность","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration","manual-reviewed-human","needs-english","","932865416694",""
"890000000002501","WIP — механика сигнатурного перка в разработке.","WIP — механика сигнатурного перка в разработке.","WIP — signature perk mechanics are still in development.","manual-reviewed-human","needs-english","","890000000002501",""
"890000000004634","Взрывы Девина крушат укрытия и поджигают всё вокруг","Взрывы Девина крушат укрытия и поджигают всё вокруг","Devin's explosions destroy cover and set the surrounding area ablaze","manual-reviewed-human","needs-english","","890000000004634",""
"890000000004649","Не трогай меня","Не трогай меня","Don't Touch Me","manual-reviewed-human","needs-english","","890000000004649",""
"890000000004650","Врагам сложнее попасть по Шенку в ближнем бою","Врагам сложнее попасть по Шенку в ближнем бою","Enemies have a harder time hitting Schenk in melee","manual-reviewed-human","needs-english","","890000000004650",""
"890000000004665","Полевой наставник","Полевой наставник","Field Mentor","manual-reviewed-human","needs-english","","890000000004665",""
"890000000004666","Раз за бой лечение или подъём товарища возвращает ему ОД","Раз за бой лечение или подъём товарища возвращает ему ОД","Once per combat, healing or reviving an ally restores their AP","manual-reviewed-human","needs-english","","890000000004666",""
"890000000004681","Вырубить","Вырубить","Knock Out","manual-reviewed-human","needs-english","","890000000004681",""
"890000000004682","Раз за миссию выстрел из винтовки вырубает вместо убийства","Раз за миссию выстрел из винтовки вырубает вместо убийства","Once per mission, a rifle shot knocks the target out instead of killing them","manual-reviewed-human","needs-english","","890000000004682",""
"890000000004697","Старая школа","Старая школа","Old School","manual-reviewed-human","needs-english","","890000000004697",""
"890000000004698","Заряды Биггенса труднее обнаружить и они быстрее взводятся","Заряды Биггенса труднее обнаружить и они быстрее взводятся","Biggens' charges are harder to detect and arm faster","manual-reviewed-human","needs-english","","890000000004698",""
"890000000004713","Оружейник старой закалки","Оружейник старой закалки","Old-School Gunsmith","manual-reviewed-human","needs-english","","890000000004713",""
"890000000004714","Автоматическое оружие Кульбы стреляет точнее и реже заклинивает","Автоматическое оружие Кульбы стреляет точнее и реже заклинивает","Kulba's automatic weapons are more accurate and jam less often","manual-reviewed-human","needs-english","","890000000004714",""
"890000000004729","Ночной автоматчик","Ночной автоматчик","Night Gunner","manual-reviewed-human","needs-english","","890000000004729",""
"890000000004730","Ночью автоматный огонь Вильде точнее","Ночью автоматный огонь Вильде точнее","Wilde's automatic fire is more accurate at night","manual-reviewed-human","needs-english","","890000000004730",""
"890000000004745","Точный бросок","Точный бросок","True Throw","manual-reviewed-human","needs-english","","890000000004745",""
"890000000004746","Первый брошенный за ход нож никогда не промахивается по ближней цели","Первый брошенный за ход нож никогда не промахивается по ближней цели","The first knife thrown each turn never misses a nearby target","manual-reviewed-human","needs-english","","890000000004746",""
"890000000004761","Ночной инструктор","Ночной инструктор","Night Instructor","manual-reviewed-human","needs-english","","890000000004761",""
"890000000004762","Ночью Штайгер обучает соседних союзников лучше стрелять","Ночью Штайгер обучает соседних союзников лучше стрелять","At night, Steiger teaches nearby allies to shoot more accurately","manual-reviewed-human","needs-english","","890000000004762",""
"890000000004777","Второе дыхание","Второе дыхание","Second Wind","manual-reviewed-human","needs-english","","890000000004777",""
"890000000004778","Раз за бой промах Лаки превращается в попадание","Раз за бой промах Лаки превращается в попадание","Once per combat, Lucky turns a miss into a hit","manual-reviewed-human","needs-english","","890000000004778",""
"890000000004793","Скрытный врач","Скрытный врач","Covert Medic","manual-reviewed-human","needs-english","","890000000004793",""
"890000000004794","Лечение и подъём союзников не выдают позицию Лоры","Лечение и подъём союзников не выдают позицию Лоры","Healing or reviving allies does not reveal Laura's position","manual-reviewed-human","needs-english","","890000000004794",""
"890000000004809","Тюремная выдержка","Тюремная выдержка","Prison-Hardened","manual-reviewed-human","needs-english","","890000000004809",""
"890000000004810","Годы в тюрьме Альмы закалили Эскимо: он не паникует и стреляет метко даже раненым","Годы в тюрьме Альмы закалили Эскимо: он не паникует и стреляет метко даже раненым","Years in Alma Prison hardened Eskimo: he never panics and remains accurate even while wounded","manual-reviewed-human","needs-english","","890000000004810",""
"890000000006638","Конечно, это не высшее общество, но могло быть и куда хуже.","Конечно, это не высшее общество, но могло быть и куда хуже.","It certainly isn't high society, but it could be much worse.","manual-reviewed-human","needs-english","","890000000006638",""
"890000000006648","Кажется, мы зря теряем время. Что за глупые люди!","Кажется, мы зря теряем время. Что за глупые люди!","I think we're wasting our time. What a bunch of fools!","manual-reviewed-human","needs-english","","890000000006648",""
"890000000006649","Симон, мы с тобой из любой передряги выберемся, верно?","Симон, мы с тобой из любой передряги выберемся, верно?","Simon, you and I can get through anything, can't we?","manual-reviewed-human","needs-english","","890000000006649",""
"890000000006664","Я привык работать в одиночку, но контракт есть контракт.","Я привык работать в одиночку, но контракт есть контракт.","I'm used to working alone, but a contract is a contract.","manual-reviewed-human","needs-english","","890000000006664",""
"890000000006674","Мерзкий тип.","Мерзкий тип.","A nasty piece of work.","manual-reviewed-human","needs-english","","890000000006674",""
