stem,ru_text,wav_bytes,has_audio,source_txt
000,Вижу противника!,27693,1,171_Brains.txt
001,"Отлично, вперед!",26787,1,171_Brains.txt
002,Scheisse!,17067,1,171_Brains.txt
003,Никогда не любил зоологию.,40172,1,171_Brains.txt
004,"Похоже, я залез туда, куда не следовало... Эй, вы тоже видите эту тварь?",87312,1,171_Brains.txt
005,"Надеюсь, нас не постигнет та же участь.",46353,1,171_Brains.txt
006,"Ш-шш, я что-то слышу.",40331,1,171_Brains.txt
007,"Здесь воняет, как на скотобойне моего папаши! Интересно, сможем ли мы закатать этих тварей в банки и продать под видом корма для собак?",138547,1,171_Brains.txt
008,Тут слишком тихо. Что-то здесь не так...,46508,1,171_Brains.txt
009,"Я никогда не бежал от драки, это не в моих привычках... Но это больше похоже на сафари, чем на драку. Мне все время кажется, что одна из этих тварей вот-вот бросится на меня из-за ближайшего угла!",155412,1,171_Brains.txt
010,"Откуда лезут эти твари, черт их побери?!",36951,1,171_Brains.txt
011,"О, кое-что полезное...",39897,1,171_Brains.txt
012,Что это там?,18906,1,171_Brains.txt
013,Нужно перезарядить оружие. Вот только чем?,58296,1,171_Brains.txt
014,Я... тяжело ранен... Но я слишком люблю жизнь... Никто не поможет мне?,99694,1,171_Brains.txt
015,"Леннарт! Scheisse... Мы, эстонцы, должны держаться друг друга. Ох! Мне будет тебя не хватать...",125902,1,171_Brains.txt
016,,0,0,171_Brains.txt
017,"Мне ее жаль. Я хочу сказать, она американка, но... В ней как-то больше итальянского, чем американского, если вы понимаете, о чем я...",151274,1,171_Brains.txt
018,Scheisse... Пора заняться... Э-э... А?,65740,1,171_Brains.txt
019,Оружие заклинило!,31205,1,171_Brains.txt
020,Я им нужен... Причем сильно!,39853,1,171_Brains.txt
021,Сурово!,16127,1,171_Brains.txt
022,"Ха, промазал! Так просто тебе меня не достать!",67219,1,171_Brains.txt
023,"Отсюда бы в цель не попал даже снайпер... О, так я, получается, тоже снайпер?!",88943,1,171_Brains.txt
024,"Эй, это же моя кровь... БОЖЕ МОЙ... Это правда моя КРОВЬ?",71413,1,171_Brains.txt
025,"Спать, всем спать... Есть время собирать камни, есть время их разбрасывать.",113829,1,171_Brains.txt
026,"Дыши, Янно, дыши!",29421,1,171_Brains.txt
027,Еще один готов.,61805,1,171_Brains.txt
028,Я же говорю - сафари...,29601,1,171_Brains.txt
029,Этот Сидней... Скоро он получит фонарь под глаз. На что спорим?,78363,1,171_Brains.txt
030,,0,0,171_Brains.txt
031,"Если я еще немножко послушаю нашего Потрошителя, я точно сойду с ума. Он меня бесит.",93034,1,171_Brains.txt
032,"Я подстрелил Майка... Ja, это хорошо.",44683,1,171_Brains.txt
033,"Может быть, стоило пойти по стопам моего папаши... Тихо-мирно работать себе на скотобойне...",99728,1,171_Brains.txt
034,"Хорошо, что у меня с собой такая пушка.",37634,1,171_Brains.txt
035,"Ja, все готово!",30615,1,171_Brains.txt
036,"Нет, так не пойдет.",36296,1,171_Brains.txt
037,"Спорим, готовить она тоже не умела?",44902,1,171_Brains.txt
038,Так вот откуда брались все эти твари.,138202,1,171_Brains.txt
039,"Вы знаете типов, которым без разницы, что они едят? Это раздражает, очень раздражает...",103758,1,171_Brains.txt
040,Почему-то это все так похоже на... шайсе.,53285,1,171_Brains.txt
041,"Мне ничего здесь не нравится. Ни страна, ни люди... Ни эти придурки, что вокруг меня...",91783,1,171_Brains.txt
042,Нападение с воздуха!,25289,1,171_Brains.txt
043,Хлам! Ненужный хлам!,32774,1,171_Brains.txt
044,"Этим людям нужно многому научиться, но сначала они должны ЗАХОТЕТЬ  научиться!",99142,1,171_Brains.txt
045,Англичанина я учуял бы и за сто метров.,47621,1,171_Brains.txt
046,"Я учусь медленно, но верно.",59024,1,171_Brains.txt
047,Этот план - какой-то он... Не совсем хороший.,59221,1,171_Brains.txt
048,Хм. Этого и следовало ожидать.,41500,1,171_Brains.txt
049,"А теперь я должен целыми днями слушать байки этого кабана, Сиднея? Да если бы я знал, ноги моей бы здесь не было.",125275,1,171_Brains.txt
050,,0,0,171_Brains.txt
051,"Jaaa, Леннарт! Я знал, что мне понравится с тобой работать!",87103,1,171_Brains.txt
052,,0,0,171_Brains.txt
053,"Она мне нравится. Обычно американки такие... Ну... Но только не Грейс. В ней чувствуется итальянская кровь, а итальянцы знают толк в хорошей еде.",189183,1,171_Brains.txt
054,"Что скажешь, если мы не будем спешить и просто посмотрим, как пойдут дела?..",84048,1,171_Brains.txt
055,Nein!.. Майк?,31057,1,171_Brains.txt
056,Глаза горят... Темно... Nein... NEIN..... Я ничего не вижу!,84173,1,171_Brains.txt
057,Такого не сможет сделать никто.,35223,1,171_Brains.txt
058,Хорошие здесь люди.,30412,1,171_Brains.txt
059,Этот сектор занят... Противником... Пора это изменить.,66419,1,171_Brains.txt
060,"Внимание! Думаю, мы еще не всех устранили.",51227,1,171_Brains.txt
061,Что это?,17552,1,171_Brains.txt
062,Последнее слово всегда остается за моей пушкой!,49847,1,171_Brains.txt
063,"Эй, этот парень похож на Джои... Которого мы ищем!",56089,1,171_Brains.txt
064,"Я рад, что я здесь, Мигель.",38049,1,171_Brains.txt
065,"Думаю, мы убили всех до единого.",40480,1,171_Brains.txt
066,"Разве здесь все, что мы должны были получить?",45462,1,171_Brains.txt
067,Она это заслужила.,31379,1,171_Brains.txt
068,Большая кошка... Не могу поверить.,47918,1,171_Brains.txt
069,"'Миссия невыполнима', вот что это было! Но мы победили!",76403,1,171_Brains.txt
070,"Больше никого нет? Хм, думаю, они отступили...",63485,1,171_Brains.txt
071,Я должен поспать... Едой и сном пренебрегать нельзя.,75105,1,171_Brains.txt
072,К несению службы готов.,34565,1,171_Brains.txt
073,Я согласен.,23597,1,171_Brains.txt
074,"Я бы справился, если бы эта штука работала... но ей kaputt.",85139,1,171_Brains.txt
075,"Мне кажется, это взрывчатка.",35825,1,171_Brains.txt
076,Внимание... Это может быть ловушка.,44237,1,171_Brains.txt
077,Я... тону!,21162,1,171_Brains.txt
078,Я здесь - и жду ваших приказаний.,48976,1,171_Brains.txt
079,,0,0,171_Brains.txt
080,Ваша репутация оставляет желать лучшего... Так о вас говорят.,77121,1,171_Brains.txt
081,"Я наемник, потому что я так решил, но это еще не значит, что я люблю смерть.",82539,1,171_Brains.txt
082,Мне нужно заполнить налоговую декларацию... У меня нет времени.,82562,1,171_Brains.txt
083,"У меня свидание... Простите. Видите ли, я же не знал заранее... что вы решили продлить мой контракт... В следующий раз сообщите мне чуть загодя...",177683,1,171_Brains.txt
084,"Янно Аллик на связи. Если у вас есть для меня важные новости, пожалуйста, говорите.",111065,1,171_Brains.txt
085,"Так, на этом все... Ну, счастливо вам!",49665,1,171_Brains.txt
086,"Лучше поищи другого наемника. Такого, которому понравится работать со свиньей-англичанином!",119224,1,171_Brains.txt
087,,0,0,171_Brains.txt
088,"Мне нужно сменить обстановку... когда я слышу Потрошителя, меня бросает то в жар, то в холод, а в глазах темнеет...",137723,1,171_Brains.txt
089,"Я бы не отказался поработать на вас еще, если это входит в ваши планы.",86157,1,171_Brains.txt
090,"Gut. Должно быть, вам понравились мои успехи.",56797,1,171_Brains.txt
091,Очень хорошо... Я с вами.,37982,1,171_Brains.txt
092,"Вместе с Леннартом я готов влезть в любое шайсе, я готов даже съесть его... Ну, вы понимаете...",112168,1,171_Brains.txt
093,,0,0,171_Brains.txt
094,"У меня тревожные предчувствия, но если с вами Грейс Джирелли... Я согласен.",123580,1,171_Brains.txt
095,"После последнего задания я бы с тобой в закусочную, и то бы не пошел!",78062,1,171_Brains.txt
096,Я сказал...,20334,1,171_Brains.txt
097,"Деньги - это все. Глупая поговорка, но в данном случае как нельзя более кстати. У вас нет денег.",121690,1,171_Brains.txt
098,"У вас проблемы, да? Я ухожу.",42742,1,171_Brains.txt
099,"Ты что, поспорил, сколько наемников сможешь угробить за одно задание? Nein, nein... Я в этом не участвую.",123323,1,171_Brains.txt
100,"Когда я смотрю на Сиднея, у меня начинают чесаться кулаки. Нет.",81935,1,171_Brains.txt
101,,0,0,171_Brains.txt
102,"Поработай я с Потрошителем еще немного, я сам вступлю в Братство Темных Сил Зла... Nein, спасибо.",104765,1,171_Brains.txt
103,Мы с моим другом Леннартом - непобедимая команда. Вот почему я плюну на все свои недобрые предчувствия и соглашусь.,136741,1,171_Brains.txt
104,,0,0,171_Brains.txt
105,С Грейс Джирелли я бы с удовольствием прогулялся по Арулько... Без нее - вряд ли.,104897,1,171_Brains.txt
106,Я сказал...,21787,1,171_Brains.txt
107,"Вам не хватает денег. Может, вы этого не заметили?",65454,1,171_Brains.txt
108,Привет...,13382,1,171_Brains.txt
109,Я бы не отказался сейчас от сочного бифштекса с картофелем и подливкой. Ха!,87282,1,171_Brains.txt
110,Надо было взять с собой фотоаппарат... Сделал бы несколько снимков...,83213,1,171_Brains.txt
111,На какой срок вы хотите заключить со мной контракт?,60020,1,171_Brains.txt
112,"Я стою у плиты, и жареный лук уже почти сгорел. Перезвоните, когда вы  определитесь. Ради этого я даже готов оторваться от кулинарии.",162747,1,171_Brains.txt
113,Я не хочу работать с Сиднеем... У меня на него аллергия... Nein.,82674,1,171_Brains.txt
114,,0,0,171_Brains.txt
115,"Просто хочу напомнить, что мой контракт скоро заканчивается.",72194,1,171_Brains.txt
116,"Я приобрел ценный опыт - думаю, это стоит пары лишних монет, а?",80931,1,171_Brains.txt
