stem,ru_text,wav_bytes,has_audio,source_txt
000,Вот и жлоб.,11654,1,165_gaston.txt
001,Наконец-то можно поразвлечься.,22482,1,165_gaston.txt
002,Меня поражает их агрессивность.,22730,1,165_gaston.txt
003,,0,0,165_gaston.txt
004,,0,0,165_gaston.txt
005,,0,0,165_gaston.txt
006,Мне неспокойно: я слышу странные звуки.,28018,1,165_gaston.txt
007,,0,0,165_gaston.txt
008,"Нельзя забывать, что здесь опасно.",22750,1,165_gaston.txt
009,,0,0,165_gaston.txt
010,,0,0,165_gaston.txt
011,Я что-то заметил.,13422,1,165_gaston.txt
012,Это можно взять.,10870,1,165_gaston.txt
013,Скучно жить с пустой обоймой.,21694,1,165_gaston.txt
014,Умираю... но не сдаюсь...,25982,1,165_gaston.txt
015,Смерть Лиски разбила не одно сердце в этом мрачном месте.,40582,1,165_gaston.txt
016,"Меня огорчает потеря Сдобы. Хотя, может быть, смерть даст ей еще один шанс на жизнь. Может быть, в следующий раз она не будет столь бесчувственна.",110366,1,165_gaston.txt
017,Тоска успокоилась. Только смерть или Гастон могли успокоить ее ярость.,55602,1,165_gaston.txt
018,Что же есть предназначение?,22230,1,165_gaston.txt
019,Боже мой... это оружие неисправно.,25950,1,165_gaston.txt
020,"Стреляйте себе, я не потеряю уверенности.",29026,1,165_gaston.txt
021,Меня подставили. Все из-за плохой тактики.,30962,1,165_gaston.txt
022,"Ха... ты умрешь, некомпетентный!",19594,1,165_gaston.txt
023,Туда только ураган снесет.,20014,1,165_gaston.txt
024,"Надеюсь, хоть шрама не останется.",22466,1,165_gaston.txt
025,Усталость - худший из врагов.,20570,1,165_gaston.txt
026,Нечем... дышать.,19950,1,165_gaston.txt
027,Свободен... делов-то.,24030,1,165_gaston.txt
028,,74962,1,165_gaston.txt
029,Этот Злобный... Он издевается над языком наших отцов. Я не могу выносить это словесное убийство.,0,0,165_gaston.txt
030,"Фло позорит собой поле брани. Это не женщина, не француженка. Она жила в Америке. Она не брезговала брать гамбургер у этого клоуна... Рональда, как его там.",120570,1,165_gaston.txt
031,"Я не хочу уподобиться Бифу. Он имбецил в самом худшем смысле, почти как его партнер по бизнесу.",73322,1,165_gaston.txt
032,Я ухожу отсюда. Биф невыносим и глуп. Я бы не доверил этому парню даже автомобиль припарковать.,78074,1,165_gaston.txt
033,Какая трагедия. Кусочки могли бы быть и побольше.,37954,1,165_gaston.txt
034,На лодке и то веселее.,15706,1,165_gaston.txt
035,Закончил выполнение.,16382,1,165_gaston.txt
036,Это просто смешно.,11154,1,165_gaston.txt
037,,0,0,165_gaston.txt
038,,0,0,165_gaston.txt
039,"Цирк сгорел, клоуны остались.",23826,1,165_gaston.txt
040,Мне надоело. Надоела эта безысходность.,36982,1,165_gaston.txt
041,Ах... Хотел бы я оказаться среди цивилизованных людей.,44294,1,165_gaston.txt
042,Самолет нас заметил. Они целятся в меня.,35274,1,165_gaston.txt
043,"Похоже, мои вещи - не первой свежести.",23950,1,165_gaston.txt
044,Мне пришлось смириться с негодяями. Война просто привлекает отбросы общества.,58974,1,165_gaston.txt
045,"Америка! Страна без культуры. Эти люди просто летят на яркий свет, словно мотыльки.",57674,1,165_gaston.txt
046,Я это заслужил.,12454,1,165_gaston.txt
047,Неужели очевидная глупость этого пугает только меня?,42414,1,165_gaston.txt
048,"Похоже, ты удивлен?",13026,1,165_gaston.txt
049,"Я пас. Я больше не могу поворачиваться спиной к своему народу. Когда Злобный говорит, мои предки в гробу переворачиваются. Это не французский! Я ухожу.",114330,1,165_gaston.txt
050,Мне стыдно за Фло. Я уйду без лишнего шума.,38594,1,165_gaston.txt
051,"Ох, Лиска...",16174,1,165_gaston.txt
052,"Ты горяча, Сдоба! Ты согреваешь мне душу.",41202,1,165_gaston.txt
053,"Тоска, ты полна затаенной страсти.",37374,1,165_gaston.txt
054,,0,0,165_gaston.txt
055,,0,0,165_gaston.txt
056,Я ослеп! Теперь придется пробираться во тьме наощупь. Со мной уже было такое.,54454,1,165_gaston.txt
057,Это невозможно.,11058,1,165_gaston.txt
058,Гастон ее просто покорил. Это было очевидно.,43822,1,165_gaston.txt
059,Мы здесь не одни.,13942,1,165_gaston.txt
060,"Я, Гастон Кавалье, должен быть начеку, ради тех, кто уже не с нами.",50178,1,165_gaston.txt
061,,0,0,165_gaston.txt
062,"Я обращаюсь с оружием как с женщиной, и оно верно мне служит.",52446,1,165_gaston.txt
063,,0,0,165_gaston.txt
064,Меня подставили. Я уйду без лишнего шума.,32854,1,165_gaston.txt
065,Им всем крышка. Мы снова победили.,32830,1,165_gaston.txt
066,,0,0,165_gaston.txt
067,,0,0,165_gaston.txt
068,"Я слышу, кошка мяучит.",21738,1,165_gaston.txt
069,"Я выполнил то, зачем пришел. Теперь мне пора заняться добрыми делами. Я получил массу удовольствия.",75590,1,165_gaston.txt
070,Они сбежали. Они оценили мой талант.,33630,1,165_gaston.txt
071,,0,0,165_gaston.txt
072,,0,0,165_gaston.txt
