ID,SourceText,Russian,English,Notes,Reasons,Packages,AllIDs,Locations
103474241264,"Вот черт! Я, конечно, терпеть не могла Монику, но уж точно не желала ей смерти. И уж точно не хотела убивать ее сама! Записываю время смерти...","Вот черт! Я, конечно, терпеть не могла Монику, но уж точно не желала ей смерти. И уж точно не хотела убивать ее сама! Записываю время смерти...","Damn it! I couldn't stand Monica, but I never wanted her dead—and I certainly never wanted to kill her myself. Recording the time of death...",manual-reviewed-human,google-draft,jazz-units,103474241264,jazz-units:items.lua:116357
105784329687,Пистон,Пистон,Piston,manual-reviewed-human,google-draft,jazz-units,105784329687,jazz-units:Code/Mercenary.lua:143
111936767427,"Я снова с вами, свеж, бодр и относительно цел!","Я снова с вами, свеж, бодр и относительно цел!","I'm back—fresh, fit, and mostly in one piece!",manual-reviewed-human,google-draft,jazz-units,111936767427,jazz-units:items.lua:131479
113050924217,"Считай, свелся. Командуй ""огонь"", братан.","Считай, свелся. Командуй ""огонь"", братан.","I'm sighted in. Just say “fire,” bro.",manual-reviewed-human,google-draft,jazz-units,113050924217,jazz-units:items.lua:131335
113948731495,Налётчик,Налётчик,Raider,manual-reviewed-human,google-draft,jazz-units,113948731495,jazz-units:items.lua:85745 | jazz-units:UnitData/JAZZ_Legion_FrontT2_Raider.lua:22
124030261247,"Тут или наших маловато, или ихних многовато...","Тут или наших маловато, или ихних многовато...","Either we don't have enough people, or they have too many...",manual-reviewed-human,google-draft,jazz-units,124030261247,jazz-units:items.lua:131552
124509637581,Вебер,Вебер,Weber,manual-reviewed-human,google-draft,jazz-units,124509637581,jazz-units:Code/Mercenary.lua:78
131072494107,"Ну как-бы, вроде все, всех посчитали.","Ну, вроде всё. Всех посчитали.","Well, looks like that's everyone. Head count complete.",manual-reviewed-human,google-draft,jazz-units,131072494107,jazz-units:items.lua:131386
132305200292,Да ты шутишь!,Да ты шутишь!,You're kidding!,manual-reviewed-human,google-draft,jazz-units,132305200292,jazz-units:items.lua:115696
135932071649,План с воздуха выглядит проще. С земли - как лотерея с пулями,С воздуха план выглядит проще. На земле — как лотерея с пулями.,"The plan looks easier from the air. On the ground, it's a lottery where the prizes are bullets.",manual-reviewed-human,google-draft,jazz-units,135932071649,jazz-units:items.lua:114889
143658772175,Тишина - лучший свидетель. Ты это знаешь,Тишина — лучший свидетель. Ты это знаешь.,Silence is the best witness. You know that.,manual-reviewed-human,google-draft,jazz-units,143658772175,jazz-units:items.lua:114879
144141204511,Взяла!,Взяла!,Got it!,manual-reviewed-human,google-draft,jazz-units,144141204511 | 592497176764,jazz-units:items.lua:116440 | jazz-units:items.lua:116370
145667150510,"Прости, командир, я не спецом.","Прости, командир, я не спецом.","Sorry, commander. I didn't mean to.",manual-reviewed-human,google-draft,jazz-units,145667150510,jazz-units:items.lua:131576
151644631553,"Парни, время доставать самые большие пушки!","Парни, время доставать самые большие пушки!","Guys, time to get out the big guns!",manual-reviewed-human,google-draft,jazz-units,151644631553,jazz-units:items.lua:131649
152493018567,Бишоп,Бишоп,Bishop,manual-reviewed-human,google-draft,jazz-units,152493018567,jazz-units:Code/Mercenary.lua:103
155611659517,"Послушай. Я не знал, что ты собираешься влючать Тоску в команду. Тут через минуту духа моего бы не было, если бы я так не заботился о своей репутации. Мой тебе совет: держи ее от меня подальше!","Послушай. Я не знал, что ты собираешься включать Тоску в команду. Тут через минуту духа моего бы не было, если бы я так не заботился о своей репутации. Мой тебе совет: держи её от меня подальше!","Listen. I didn't know you were putting Tosca on the team. If I cared any less about my reputation, I'd be gone in a minute. Take my advice: keep her away from me!",manual-reviewed-human,google-draft,jazz-units,155611659517,jazz-units:items.lua:115221
174966595975,Зачем мне все это барахло? Дайте мне трубочку для плевания и фанерку - загораживаться! Куда полезнее будет.,Зачем мне все это барахло? Дайте мне трубочку для плевания и фанерку - загораживаться! Куда полезнее будет.,What do I need all this junk for? Give me a blowpipe and a piece of plywood for cover—they'd be more useful.,manual-reviewed-human,google-draft,jazz-units,174966595975 | 674868295918,jazz-units:items.lua:115254 | jazz-units:items.lua:115257
176574496642,Алексей Иванов,Алексей Иванов,Alexey Ivanov,manual-reviewed-human,google-draft,jazz-units,176574496642,jazz-units:items.lua:131009 | jazz-units:UnitData/JAZZ_Ivanov.lua:19
176578784013,"Вот вам и Рысь, вашу мамашу!","Вот вам и Рысь, вашу мамашу!","That's Lynx for you, sons of bitches!",manual-reviewed-human,google-draft,jazz-units,176578784013,jazz-units:items.lua:140339
178720739297,Гранатометное усиление,Гранатометное усиление,Grenade Launcher Boost,manual-reviewed-human,google-draft,jazz-units,178720739297,jazz-units:items.lua:102847
183507962431,Даст,Даст,Dust,manual-reviewed-human,google-draft,jazz-units,183507962431,jazz-units:Code/Mercenary.lua:114
194060943538,Тише... Здесь эхо - худший предатель,Тише... Здесь эхо — худший предатель.,Quiet... Echoes are the worst traitors here.,manual-reviewed-human,google-draft,jazz-units,194060943538,jazz-units:items.lua:114895
202028848843,"Всё... Накрылось, мать его вэдэшку.","Всё... Накрылось, мать его вэдэшку.","That's it... It's all over, damn it.",manual-reviewed-human,google-draft,jazz-units,202028848843,jazz-units:items.lua:131777
208359484899,Чуждые элементы!,Чуждые элементы!,Hostile elements!,manual-reviewed-human,google-draft,jazz-units,208359484899,jazz-units:items.lua:116419
209094011789,В стороны!,В стороны!,Spread out!,manual-reviewed-human,google-draft,jazz-units,209094011789,jazz-units:items.lua:131756
209534781642,Мейс,Мейс,Mace,manual-reviewed-human,google-draft,jazz-units,209534781642,jazz-units:Code/Mercenary.lua:129
212967091229,Вы откуда это взяли? На распродаже? Не работает!,Вы откуда это взяли? На распродаже? Не работает!,"Where'd you get this thing, a yard sale? It doesn't work!",manual-reviewed-human,google-draft,jazz-units,212967091229,jazz-units:items.lua:116002
213709547831,Буллет,Буллет,Bullet,manual-reviewed-human,google-draft,jazz-units,213709547831 | 910000000009,jazz-units:Code/Mercenary.lua:139 | jazz-units:Code/Legion.lua:11
214311297685,"Я работаю. Не мешайте. Ходют тут, ходют, а потом пластик пропадает.","Я работаю. Не мешайте. Ходют тут, ходют, а потом пластик пропадает.","I'm working. Don't bother me. People keep coming and going, then the plastic disappears.",manual-reviewed-human,google-draft,jazz-units,214311297685,jazz-units:items.lua:131370
214745093796,"Думаю, прервав эту жизнь, я сохранила много других.","Думаю, прервав эту жизнь, я сохранила много других.","By ending one life, I may have saved many others.",manual-reviewed-human,google-draft,jazz-units,214745093796,jazz-units:items.lua:116428
218806644175,Они идут... Как стадо в узком коридоре. Легко будет срезать,Они идут... Как стадо в узком коридоре. Легко будет срезать.,They're coming... like cattle through a narrow passage. Easy to mow down.,manual-reviewed-human,google-draft,jazz-units,218806644175,jazz-units:items.lua:114884
219342036908,"Делай, как я!","Делай, как я!",Do as I do!,manual-reviewed-human,google-draft,jazz-units,219342036908,jazz-units:items.lua:131472
226419811457,Ща б пивка холодненького...,Ща б пивка холодненького...,I wish I had a cold beer...,manual-reviewed-human,google-draft,jazz-units,226419811457,jazz-units:items.lua:131645
227039351750,"Ах, ходи опять, ищи этих гамадрилов по кустам. Давай просто жахнем их, и дело с концом.","Ах, ходи опять, ищи этих гамадрилов по кустам. Давай просто жахнем их, и дело с концом.","Oh, great—back to hunting these baboons through the bushes. Let's just blast them and be done with it.",manual-reviewed-human,google-draft,jazz-units,227039351750,jazz-units:items.lua:131379
231003169314,Сегодня тебе повезло.,Сегодня тебе повезло.,Today you are lucky.,manual-reviewed-human,google-draft,jazz-units,231003169314,jazz-units:items.lua:115349
242652360553,"Братаны. у них же нет этого, как его... свистимандоза? Жрать их можно, спрашиваю?","Братаны. У них же нет этого, как его... свистимандоза? Жрать их можно, спрашиваю?","Bros, they don't have that... whatchacallit... whistlematosis, right? I'm asking if they're safe to eat!",manual-reviewed-human,google-draft,jazz-units,242652360553,jazz-units:items.lua:131622
243070819799,"Мадам, мы не знакомы? Разрешите представиться, Фраг!","Мадам, мы не знакомы? Разрешите представиться, Фраг!","Madam, have we met? Allow me to introduce myself: Frag!",manual-reviewed-human,google-draft,jazz-units,243070819799,jazz-units:items.lua:131685
244409151764,"Ладно, скажу правду, были у меня предложения и получше, но в Пауке что-то есть такое, отчего с ней в кайф работать вместе. Согласна, чел!","Ладно, скажу правду, были у меня предложения и получше, но в Пауке что-то есть такое, отчего с ней в кайф работать вместе. Согласна, чел!","Fine, I'll be honest: I've had better offers, but there's something about Spider that makes her fun to work with. You've got a deal, man!",manual-reviewed-human,google-draft,jazz-units,244409151764,jazz-units:items.lua:132882 | jazz-units:UnitData/Vicki.lua:113
249950979247,"Что же, это не лучшая группа, с которой мне приходилось работать","Что же, это не лучшая группа, с которой мне приходилось работать.","Well, this is not the best group I've ever worked with.",manual-reviewed-human,google-draft,jazz-units,249950979247,jazz-units:items.lua:116397
253085579896,"Патроны, немедленно!","Патроны, немедленно!","Ammo, now!",manual-reviewed-human,google-draft,jazz-units,253085579896 | 386888790086,jazz-units:items.lua:116223 | jazz-units:items.lua:116411
253970486219,Торк,Торк,Torque,manual-reviewed-human,google-draft,jazz-units,253970486219,jazz-units:Code/Mercenary.lua:111
254157828912,Засадник,Засадник,Ambusher,manual-reviewed-human,google-draft,jazz-units,254157828912,jazz-units:items.lua:86028 | jazz-units:UnitData/JAZZ_Legion_FrontT2_Ambusher.lua:22
261881212602,"Ну дела, Рысь промазал! Теперь я точно видел все!","Ну дела, Рысь промазал! Теперь я точно видел все!",Would you look at that—Lynx missed! Now I've seen everything.,manual-reviewed-human,google-draft,jazz-units,261881212602,jazz-units:items.lua:140275
267233176158,Есть! На жопе шерсть...,Есть! На жопе шерсть...,Roger that! Hair on my ass...,manual-reviewed-human,google-draft,jazz-units,267233176158,jazz-units:items.lua:131395
278695304484,Грабитель,Грабитель,Pillager,manual-reviewed-human,google-draft,jazz-units,278695304484 | 654442681700,jazz-units:items.lua:84674 | jazz-units:UnitData/JAZZ_Legion_AssaultT2_Pillager.lua:20 | jazz-units:items.lua:81379 | jazz-units:UnitData/ThugGrenadier_Stronger.lua:18
278833303066,Это еще что?,Это еще что?,What's this now?,manual-reviewed-human,google-draft,jazz-units,278833303066,jazz-units:items.lua:115276
279053461802,Фокс,Фокс,Fox,manual-reviewed-human,google-draft,jazz-units,279053461802 | 910000000026 | 910000001026,jazz-units:Code/Mercenary.lua:148 | jazz-units:Code/Legion.lua:28 | jazz-units:Code/Legion.lua:136
279419436377,Я не сомневаюсь в присутствии противника.,Я не сомневаюсь в присутствии противника.,There's definitely an enemy nearby.,manual-reviewed-human,google-draft,jazz-units,279419436377 | 682329187809,jazz-units:items.lua:116209 | jazz-units:items.lua:116420
280109571132,Принял четко!,Принял четко!,Loud and clear!,manual-reviewed-human,google-draft,jazz-units,280109571132,jazz-units:items.lua:131393
281807945653,я на некоторое время займусь научной работой.,Я на некоторое время займусь научной работой.,I'll be doing research for a while.,manual-reviewed-human,google-draft,jazz-units,281807945653,jazz-units:items.lua:116332
283654937572,"Э-э-э... Знаешь, мы ведь как договаривались - деньги на бочку, правда? Что-то я их здесь не вижу!","Э-э-э... Знаешь, мы ведь как договаривались - деньги на бочку, правда? Что-то я их здесь не вижу!","Uh... our deal was cash up front, right? I don't see any cash here!",manual-reviewed-human,google-draft,jazz-units,283654937572,jazz-units:items.lua:114964
284015763095,Линднер,Линднер,Lindner,manual-reviewed-human,google-draft,jazz-units,284015763095,jazz-units:Code/Mercenary.lua:82
287657224729,Ха-ха!,Ха-ха!,Ha ha!,manual-reviewed-human,google-draft,jazz-units,287657224729 | 403326197899 | 512031002404 | 731102317560 | 751404184505,jazz-units:items.lua:115901 | jazz-units:items.lua:115334 | jazz-units:items.lua:115990 | jazz-units:items.lua:115959 | jazz-units:items.lua:115438
288587538856,"Блядь, подбили меня, командир!","Блядь, подбили меня, командир!","Fuck, they got me, commander!",manual-reviewed-human,google-draft,jazz-units,288587538856,jazz-units:items.lua:131486
289633215369,Хмм,Хмм,Hmm,manual-reviewed-human,google-draft,jazz-units,289633215369,jazz-units:items.lua:115907
291706354809,Сэйбл,Сэйбл,Sable,manual-reviewed-human,google-draft,jazz-units,291706354809,jazz-units:Code/Mercenary.lua:183
